==> initializing monitor ...
==> initializing trainer ...
You are using a CUDA device ('NVIDIA L40S') that has Tensor Cores. To properly utilize them, you should set `torch.set_float32_matmul_precision('medium' | 'high')` which will trade-off precision for performance. For more details, read https://pytorch.org/docs/stable/generated/torch.set_float32_matmul_precision.html#torch.set_float32_matmul_precision
Epoch 0:  18%|▏| 93/512.0 [00:02<00:10, 41.45it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.180Le torch.Size([32749, 3])
Epoch 0:  18%|▏| 94/512.0 [00:02<00:10, 41.54it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.170Le torch.Size([32748, 3])
Epoch 0:  19%|▏| 95/512.0 [00:02<00:10, 41.60it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.180Le torch.Size([32757, 3])
Epoch 0:  19%|▏| 96/512.0 [00:02<00:09, 41.67it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.200Le torch.Size([32752, 3])
Epoch 0:  19%|▏| 97/512.0 [00:02<00:09, 41.74it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.180Le torch.Size([32751, 3])
Epoch 0:  19%|▏| 98/512.0 [00:02<00:09, 41.79it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.200Le torch.Size([32760, 3])
Epoch 0:  19%|▏| 99/512.0 [00:02<00:09, 41.87it/s, loss=0.102, v_num=h14p, train/recon_loss=0.101, train/latent_reg=0.000, train/total_loss=0.101, train/psnr=9.210Le torch.Size([32748, 3])
Epoch 0:  20%|▏| 100/512.0 [00:02<00:09, 41.93it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.17Le torch.Size([32754, 3])
Epoch 0:  20%|▏| 101/512.0 [00:02<00:09, 42.00it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.18Le torch.Size([32747, 3])
Epoch 0:  20%|▏| 102/512.0 [00:02<00:09, 42.01it/s, loss=0.102, v_num=h14p, train/recon_loss=0.102, train/latent_reg=0.000, train/total_loss=0.102, train/psnr=9.18Le torch.Size([32749, 3])
